epoch,train_loss,train_acc,test_loss,test_acc
1,0.6623733590305941,0.5688163265306122,0.5096945648533957,0.7875
2,0.45011935960841865,0.798734693877551,0.37749962968485695,0.8319642857142857
3,0.36701836841613755,0.8477959183673469,0.30805080839565824,0.8755357142857143
4,0.3323518570716792,0.8613061224489796,0.3514797303506306,0.8507142857142858
5,0.3110428122468001,0.8740408163265306,0.34540940518890106,0.8467857142857143
6,0.30359412417516074,0.8764489795918368,0.3660911921943937,0.8442857142857143
7,0.2864345234208412,0.8869387755102041,0.3985527684858867,0.8467857142857143
8,0.2555122634313281,0.9004489795918368,0.346531805566379,0.8658928571428571
