epoch,train_loss,train_acc,test_loss,test_acc
1,0.6173458902782933,0.6352244897959184,0.45835690140724183,0.7942857142857143
2,0.48003952454182247,0.770734693877551,0.4237586862700326,0.8244642857142858
3,0.4393770620032328,0.7950612244897959,0.4199386998585292,0.8201785714285714
4,0.3682760248646412,0.843265306122449,0.3483055654593876,0.8535714285714285
5,0.3312516025128937,0.8593469387755102,0.34075600194079536,0.8551785714285715
6,0.30853458732249844,0.8757551020408163,0.3721217779602323,0.8575
7,0.2872988705477111,0.8845714285714286,0.36435097209044864,0.8519642857142857
8,0.27647160557791706,0.89,0.38248079546860286,0.8578571428571429
9,0.2658619280641913,0.8942448979591837,0.3834980546576636,0.8605357142857143
10,0.23497485297467005,0.9093877551020408,0.35974476856844767,0.8666071428571429
